CAR ID	DESCRIPTION
======	===========
2708	12211010111002222011101110100101101011
3680	22221102002210010100222201101101111120111210221202200011102200102222011120220002200112121112121222121001010220011022220111012111211111122000012221210102200010002222011122200112121101112121222121212220000220001022220110111011011111111102212220001102200022001102222011220012200001112220011212121222220000022001111110022220111012220011210110111112222200002200010220000002222011121211120220002200101202222000022000122200011100222201102200112121200110112222000101011022001220000222201110121101112102200110220002222000101012102200011022220110110111111120220011122220001012220000220001002222011101212011220012200022001120222200010220000220001022000022220112200111220010220012200122000220010112222000102200010220012200012022220111211220001122001220012200012121122220001022000111222000220000222201112012121122001121110112222000102200012102200110022220111212112200012120110112222000102200122000022001120222201112101211012121012112222000102200122001010002222011101211122200122001220000112200122220002200110102200122001220000222201122001101212120110121122220010000220012200110022220110011111212111122001022220010010220011011100222201110011110220002200101110222200100122200002200122000022220110111110011102200012112222001002200111110220010222201101112122200011220000111022220010101010002200102222011011110112200111220012200112222200102200010100022001022220111012111222000120112200112222200102200012220000100022220111211220000220010102200111022220010220011010220001112022220110112200011220002200010220011211222200102200110220002200002200002222011022001101122001121211022000222200110001222000122200102222011121122000121210121110102222001100100022000110222201110121112111011220010220012222001100122200010102200102222011100122200111220001210121122220011002200010102200010022220110022001011220001101112222200110100120102200102222011011011011022000220011022220011010101210102200002222011121011121201102200111222200110101022000022001002222011122200122001111122000011002222001101010220012200002200102222011122200012220011212112200112122222001101022000022001102200002222011220001111120121122001011222200110102200011022000120222201112101222000220001201112122222001101222000022001102200102222011101212220010110121210222200110122200100000222201112121212220012200112110102222001102200000010220010222201112120220002200001210101222220011022000002200122000220000222201111112200002200011220011212112222001102200010101010100222201122000100111110112200110122222001102200011101010100222201110220011122000011220002200101022220011022000111012220001202222011121012111212220011122001102222001102200012002200010022220112200122001112200011220011111220001222220011100101010100222201111102200122000220012200101111102222001110220000000022220111122001111111220012200011002222001111010122200110220000222201111101012111112220010112222001111022000010220002200102222011112200022001121211121212220012222001120010102200012022220110220011210121101122000122222001120022001220002200022000022220111212101211120121210222200112022000102200000022220110220000111111022001220010222200112220001222000122200000222201112220012200110011220001211022220011222001102200001022000022220110121122001011111101122220012200001010022001100222201122000121122001111010121211222200122000101011022000100222201122000011220000011011122222001220001022001010010022220112200012012220012200111220000112222001220011011122200022000220010222201122001220000110111011220002200122220012200112102200022000101002222011220010112200111220010112200010
3762	22221102002200101022220110111202200012001202201022001102222011101122000220002200112010120221001110102222011022001220002200102200022001120220002210111111022220111201100121001010221012111110222201112100102200010220000111122111011220012200002222011220001222000220000012100220002211101222000002222011112200022000100112200010220000221111102200011102222011100022000112200012220010112211111111220010222201112012220002200011220002200110122211121111110222201122000120220002200110011121122111211220011102222011220002200022001120022000011112211220012200110110222201112001210220001112111122120110102200010222201101212120220001222000120221201122001220000102222011011121122000100010112212100112200122000022220111022000220002200112002200111220002212102200122000101110222201111220002200011120220002200010112212111022001220012200002222011120220011112220002200110022000221211111111220010222201111220011222001121001012220012212111122001220012200102222011220012200112010220002200022000101022121122001101122001022220112200112000101211220010221211220011122000120222201111220002200001122000220011110122212112200112102200102222011111112000220001101022121211220011222000102222011220001202200112122200112100221222001011220011102222011110220001012220011210002222000011220012200110220010222201102200010102200112010122200122220001010112200112220001022220112200110022001102200110010022220001011112200001102222011220011012112200010100011222200010121012220001102222011101212022000102200010121122220001022001111122001110222201122001220002200112010101110112222000102200111220011011022220112200012102200022000122200022001120222200010220012200110111110222201112220011022000220011000111122220001110220001022001110222201112001122001220011202200111222200011102200011000222201111220002200022001111002200000222200011111102200111102222011120100220011122001121111222200011112200110220011102222011220011200022000122200001122220001111220011122001220010222201122001120121210220002200022000220002222000111122001220010220001022220111122001220001201022000220012200022001222200011112200122001112200102222011220011112101022000220001201022220001122001220011122001120222201112011101222001001012222200012101110220001002222011122200101122000220000220002200102222000121111220012200010022220112200011111012012121202222000121211220011122001022220110220001122000001212012222200012220000012220000222201122000220000001122000220000122222000220011222000110110222201122001220001022000101202200010112222001011101222001102200102222011012220012200011220001022001010222200101212101212220000222201101212011121022000220012200022220011010220011210112200102222011220011010101012022001111222220011011220012200111101102222011220012200101012001012112222001102200122001102200111110222201122000220002200122001101000111122220011111220001222000102200010222201111220011122000100220002200022001220012222001111122000220012200022001220000222201122001101001010101222001220002222001111122001220012200122001120222201111220001222000220000220002200122000122222001121211002200122001022220112200022000011022000111211122222001122200112121111100222201122000220001122000100121011102222001220001011220011122001220010222201110101222001122200012022000220012222001220002200010111111220010222201111010011012220011202222001220002200022001122200122001220010222201122000022000111211220001102200022220012200101100111002222011122200012002200110121012222200122001122200001110220010222201111102200111122200100111222220012200122000122200011220012200102222011022000220011111101022001010
3450	22221102002210001010222201111101010111202200022000102210022001120222201112022000120220001022000220002200022101012220000222201102200012220012200110012220002200022101112220011022220111122000220002200022000220012200122001220012200122102200022001120222201112220001211111201212220002211011220012200010222201100121211220012200002200022000221110220011210022220111110010101022001101011221110220012200010102222011101011010220012200122000121022111200220010222201122000110111011220000122200122112200010122200102222011120122200022000112200122001111122120022000220011002222011012220011111001211102212010011220010222201110012011121010220011122120102200022001220000222201110012121001112102200022121002200122000002222011101011022000001210022121022001122200122000022220111101110220002200010010220002212122200102200112022220111211111100111102200022121222001220000220011022220111222001022000122200101210220012212220002200112101202222011110122200122001220010112200012221222000220011212220010222201112122200010010220011122001220012212220002200122000220011202222011111201212220001022001111022122200112122200112022220112200122000220002200122000011012122212220011222000220012200010222201122001220002200022001220001011220002200012222200000102200022001120222201110101022000220001210102200122000222200000220011012120222201101101022000220002200122001220002200022220000101222001010022220111022001022000121222001111222001222200002200112011120222201100121112220012200102200012222200010002200122001100222201101210101022000220002200001022220001012220002200122000220010222201110220002200102200012121210220012222000102200002200122000002222011100112200122001012022000022220001112220011011220011022220111112120121210220011111222200011122200110121110222201111111212022000220002200122000102222000112200122000022001120222201122001122200012112200012112200111222200012220000220011210102222011220001022000102200022000011101122220001222000112200122001121022220111222000111122001110121022000222200022000010122200022001022220111202200102200022000220001212220012222000220001002200112100222201111012220001022001011220011022220002200022001220002200112110222201101222001122200022000220001110112222000220011011220002200112022220110111010100101022001220002222000220011012220002200110022220111101122000220001201010102222001001010122200112022220111011102200110120122200112222200101022000022001112200002222011101001001211220011022000222200102200022001012010102222011011220001212101011010222200110122200000000222201101001112112200012121222220011022000002200112220010222201100101210220002200011112200122220011022000022001220001110022220110010220012200012121212220012222001102200110220010220011002222011111111101022001220002200122001102222001111211101212220011022220111112102200122001010220012200111222200111122200112101012102222011120220002200001201022001122222001112200122000220012200001002222011220011202200022001022000220001210222200112100220011222001120222201122000220000122200022001122200011122222001121112101122000010222201112220012200101212001202222001122200022001220002200112101022220111212100220012200010111111222200122000102200112122200112022220111210121010220012200012220001122220012200022001122200110112200102222011121211101022001102200122001220012222001220002200112220012200101002222011220001211110111122000220011022220012200100000220010222201110220011010220002200011011220012222001220011012112200112002222011220010220001222001101212100222200122001102200011220002200112022220110100111211100012222200122001102200022001112200011022220111122001010220011022001110112222001220011211121212220011022220112200122001121011220000111122001
3467	222211020022000022220111010111210220001210220012200022001110222201112101011220002200110122200011220012102222011101112100102200012220011222022001220011022220111022001101110220001210112200022100022001022220110110102200010101022001102210220011222001102222011220011022001121011111112102211011011102222011122200010122200010220000220001122110120220010222201110220001011121102200110102211112200002200102222011111001010220001022001220012200122112200101201022220111212121210111110220001122112200112022001022220110121222000100102200010220002211220011211220010222201110111010101212220001022000221200220000120222201110101022000011220002200101222120122200012002222011002200010101111121011221201222001122200110222201110022001121101011101122120220000220011210222201110100220001210220011122000122212022001112200111022220110122200112111010022001102212100000022220111012101222000100220011110221211022001110022220111122001111111101210101022121112022001220000222201111121010112200012010022121122001001002222011111022000220012200101012101122121212001202222011121222001220012200122001101022000022122200000011022220111101010100010220001022122200002200002200110222201111220011022000101011220011022000221222000111211220010222201111100220001112220001010220002212220011100002222011121010220012200010220002200111112212220011200220010222201110102200010121102200022001112212220012200111220012200002222011220011101112101122000121222122200122001121200222201122001220012200122001220011111220001210222200000220011211002222011010112200111111022000102200022220000220011201011022220111001001210011101122220000220012200012220012200002222011001112100100111122220001200000022220111010012110122200022001112222000220000122200111220010222201110112200100220002200112220001022220002200011122200100022220111222001101010220000111102222000220010220010220011102222011102200112102200112121122001102222000220011111022000110222201122001220012200122001101010110112222000220011200122200002222011101110011220001022001220011222220002200122001122200122000220010222201110121101011111010220002222000220012200122001022001220000222201122001220011011101012220002200110222200100022000012110222201110101022000011122200122000102222001012220012200001112022220110112200001222000102200022000122222001022001220000120120222201112102200022001101112022000122222001022001220001222000120022220111012220002200102200112220001202222001101122001120112200102222011101122001220001010010220012200122220011012022000012002222011102200122000220002200112122200010220002222001101222000022001012022220111012102200122000101022001220012200022220011022001112200012022001022220111012101112121122000102200122220011111220001012120022220111112111211111002200011222200111220002200122000120002222011220002200112100110220001222000222200111220010121122001002222011122200022001022001220000121010222200122000001000220001022220111112220011222001101111112200122220012200011220002200000120222201111022000220011222000220001212122222001220002200101200110222201122000102200010111002200022000102222001220010002200122001002222011220010010122200010022001022220012200101202200112002222011101200101012101102222001220011112011112200102222011220010220000220011001122000102222001220011212220011211101022220111010121022000111222001220001022220012200122000002200122000002222011220012200112220002200022000112200012112222001220012200012111100022220112200122000122200111220001002200010
3930	2222110200101022220110100010111111010220001022220110121122000220001001011102200220001022220110122200010220001022001220011022000220112200010222201112110101101012220002200022022000010222201122000121122001100111101022022001010222201122001121122001220010111110022100220012200010222201101112121222001122200012122210111101022220111201122001112200122001100102210220011111102222011002200022001122200022000100102210220011201022220110220002200010120220011022001022102200122000010222201122000220002200122000220000101211022102200122000110222201122001220012200022000122200001001022102200122000220010222201100220001022001022001101022000221022001220002200102222011002200110001110012221022001220002200102222011012120101202200101022111022000111002222011100101211010220001010221111120220011022220111001010121110220011022001221122000022001220000222201122000022000220001012121222001220002211220002200112220010222201112220001022000220000111012112211220011110220011022220110012122200022000112200112112212100220002200111022220111022000100121210220000102212112200122000112200002222011111211022001022000110220002212220000220012200022001022220111012220002200122001000101022122200012011220011022220112200012120121122001220010220012212220011222001122200102222011022001220011122000101211220011122220000101222001220000022220112200101222000012112200101122220001002200012220011102222011101022001121222000220001111112222000110220000220012200010222201110112200022000111022001100122222000110220002200111100222201112012121122001022000122200022220001111220012200010110222201112120022001112200022001101122220001122000022001220012200002222011012101011010122200012222200011220002200122001220000022220110111210122200022000220000220012222000120220002200122000110222201110111212110121222000022220002200011220001011220010222201112220000220010220011022000102200122220002200102200122000022001022220110022000022000012101211222200022001112200111112200002222011220012200101122001100220011122000222200022001112200122000100022220112200110102200111100101211222200022001120220001110022220112200111100112200122000220001010222200022001220000111110102222011220002200011121222000220012200101122220002200122000110220000022220110101010102200001122001102222000220012200011111200222201101010220001110102200110022220010220000122200112002222011220011011220002200112220001122001022220010220001122000112200011022220111022000220011011121011010222200102200011220011111220010222201110220001122001120121011220012222001022000120111022001022220110110121022001220002200011022220010220002200111220012200011022220111022000121010102200011010222200110022000220012200012220010222201110112200022000120220011211022220011010122200122000220012200110222201111220011022000111000220012200122220011111110220012200012102222011022001111211121010220001222220011111112200122000112200010222201111220002200101212121122000220002222001111111220012200022001220010222201110220001001222001002200122001222200111112200122000102200000222201112102200111121112111022000222200111220002200122001220011222001102222011220012200012001100111022220011122001220000220012200122000022220111101011022001022000012222200111220012200012220012200022001022220111100011122200022001220011022220011200220012200010010222201111102200122000121112121010222200122000101122000111122001022220112200011111102200010011220012222001220011112100220000022220110112200112220000122200110022220012200122001120220001200222201101002200001110102200102222001220012200122000112200002200102222011122200022001220011122000120100
3916	2222110200010222201101001112011022000111010222201100012100102200012011010222201101102200002200022000022000101111022220111022000220011202200012122200022001220022001022220111122000220010220001122001111211220022001022220111212220001122000220001222001011220022001022220112200110121122000022000102200022001220022001102222011002200022000110220001112220002201011102222011101002200022000220000220002200111220111110222201112112200002200022000111211220002201111102222011220002200112101010122200022000220002202200111102222011022000122200022001122200022000220001122022001220011022220110220001222001112200001112220012210100220010222201110101022000220002200022001220010220002210102200111022220111010111212122200022000220002200022101211111022220111211220012200012220011222000220001122102200110101022220111210220000220001022000220002200010221100220011202222011220012200022000121212220001212122211022001022001022220112200022000101202200012220001122000221102200110220000222201122001121022000220002200012220002200122000221110102200110102222011101012101012011220001022111022001022001022220111012220012200011112200022001010221111022001220010222201112220012200012122200012122200011221122000100220010222201122000011101210220002200112102211220001202200110222201122000220002200001122000220011012220012212022001110120222201112001010022000220011012221202200111102200102222011220012200001222001220002200011112200022120220012200102200102222011220011222001102200001122001220002200022121002200110002222011011101210102200001002212110022001101022220111001022000122200102200122001102212110220011022000022220112200022001220012200022000220011211111222121110111011022220111112112200011112200112220001222122200000220011002222011100112200002200011012022122200110120220010222201102200001211220012200022001120222200000122200102200102222011022000102200111022000112200012222200000220011211002222011012022000121201012022220000220010002200102222011220012200101122000220001010122200122220001000220012200111022220112200022001100111122001122200122001222200010011111011022220111022001011220000220002200010112222000100220010110022220110220010112200110120122200022220001012111111100222201101011220010220001122001220010222200011002200102200102222011220002200010220012200111220012200112220012222000110120101102222011102200110220000121122000022000222200011100220010220010222201112220001110010112200022000220012222000220001002200102200002222011220001011102200012010022000222200022001220010220012200110022220112200122001220011110111222001220000222200100022001220001110022220112200112011220011110220001211222200100022001220011022001022220110220002200022001121110110102222001022001101110112200002222011012220010220012200011111222001222200110022000220012200110220010222201110220010220001022000220002200002200022220011100022001111002222011111122001220001012102200012102222001110120220001022001022220111101011220001222001220011202222001111110022001102200110222201110100112200112120111122220011111220001002200122001022220112200022000121200112200022000112222001121102200122000102200102222011122200110220001102200012112200022220011212010110120222201122001220002200011122200111220000122222001220000220011102200100222201122000122200022001220000220011112022220012200002200122001220010220010222201110120111210110111122220012200110220010220011222001022220112200122000120220012200022000110220012222001220011111100022001022220112200110220012200022001220011201022000
3865	2222110200101022220111011111211120121012221000120222201111112200022000011121210220012210002200010222201110111122000121012120220002210122200000222201111101111220002200010121112221012220010102222011121222001121110100101222110122200110102222011111010121022000220011001022111222000022000022220111012101211220001111220002200122112200100220001022220111011101212100002200022120220011210220000222201111220011001022000111122000220002212121222000220012200102222011121011010120022001220012212220010022001100222201122001121012220001101022001102212220010220002200122000022220111010111210111222000220012200022122200102200101002222011220011012001212102200110221222001102200122001220000222201111220001101112102200122001220002212220012200001022000022220111111220001122001100102200022000221222001220002200100022220111211111012220012200110120222200001110000022220110101210121012220011211222200001201222000002222011101010121110112200110220012222000012122200022000110222201101110111111001011222200002200111220001022000022220111022001121110121022000102200022220001002200002200000222201110220001111112200112101212222200010220002200122001010022220111022000101122000111012121022220001222000022000220001102222011101112111122000022000010222200012220012200022001220010022220111210002200012102200010122222000220000010101002222011121011101011101210102222000220010121222001002222011220011111011220011011101222220002200111000220000222201122001220011211112200111120220002222000220011222000000022220112200112121011112200110120222200100220012200022001220010022220110101022001111111122200012222200101211220002200022001220010222201110101012012101202200122220010220001022000101011022220111211101222001111010111122220010220010002200022000022220111111121010122200102200110222200102200110002200100222201111110012110102200112222200102200122000112200022001002222011111110100220001212101222220011002200122001220000220000222201111102200112111122000220000220002222001102200022001220011200022220111010102200011220002200022000120222200110220002200122001220002200122000022220111112010122200122001220001222001222200111022001220000122200102222011111011022000122200012111122220011202200122000110002222011120111222000110111202222001121222000121222000220000222201122001102200010121212120112222001122200022000100220000022220111011110022000120100222200112220011022001220002200122000022220112200110220000102200101211220012222001220000220010220002200100222201122000220000112200110121011220012222001220000220011022000102200002222011220000011012101202200122220012200010011100120222201110121002200111111211122222001220001222000110220001102222011220001211220012200111220011101122220012200012220012200122001000222201122000220001210112200022001101211222200122000220001002200122000220010222201122000102200122001220011110121122001222200122000220010012220001002222011220001001112122200111220011022220012200100122200011220001022220112200101011121112110220002222001220010220002200011022000022220111210122200122001102200010022001222200122001022001022001220000022220112200112112200122001011101012222200122001121222000012002222011121022001112200022001120120222200122001220000011102200002222011111010111012111200222200122001220001011220010002222011111222000011112200011220010222200122001220001112022001002222011122200101110121010121222220012200122000121211000222201111220010111012101112112222001220012200022001220002200110110222201112101022000122200011220001122000222200122001220010022001012022220111122000010001022001111222220012200122001022001022001220000222201111220012200022001220011211122200011
3861	2222110200101022220111001010101011121010221012120022220111022000102200022001220001222000102200122101212120222201110101212101010010220012211022000120022220111210112200122001111022001100221111220000120222201111220011122001112200110101102211112200112111022220111110220012200011220001110121122111200002222011121210010220012200022001112200022111212011022220111212220001002200012101022001221112120220010222201110121122001010102200102200122112200122000120022220111011220011122000102200022000112200022120112200012110222201101111121011002200010221202200122000121102222011121022001220010102200111011221211012220012200102222011102200122000111001111220002200122121212121200222201110120002200002200010022121212220012200122001022220112200010110220011011121012221222000011220000102222011220000112200112102200010220012200022122200022001122200112022220112200012102200110112200011101222122200111001210222201122001110110010121022001221222001112200012002222011112200011220012200001010010221222001121211110222201111220011022000012100102200122220000012110120222201110112200122000220012200011220011012222200001111111200222201101122001220002200110220012200022000112222000012012122200102222011012112200011122200110220010222200002200012012120222201100101222001220001022001220012200122220000220010012220010222201110120121012220011012220012222000022001220002200122000002222011011101122001220002200110220012200122220001101222001120022220111122000220011101011111210222200011111212220001202222011220011122001220002200122001101210220002222000121202200112110222201112220012200122000100220011002200022220001222000012011022220111211010101222000101011222200022000011122200122001022220112200110111010101001122000222200022000012011110222201122000101022001110220012200010102222000220001222000012120222201110220011122000112200011220000122222000220002200100121102222011220002200011101022001112200101122220002200022001122200111002222011220010112200122001220012200022001010222200022001022001121122001102222011220010220012200022000220011022001220011022220002200112120121102222011112200122000102200112220001122001102222000220012200101101202222011220001022001220002200022001011220011222220010110121222001220010222201112111122001220002200012121022000222200101110220001212220010222201102200122001100220011210102200022220010120121112002222011111200220001012101011222200101222000012012022220110220001010220011001222001122222001012220002200112220002200002222011111222001010010220002200102222001022000120022000111022220110111022000110220001022000220002222001022000120121211022220111210220002200112220001010011222200102200110012121102222011110220002200110102200022001220011022220010220011211112200022001022220110001012101002200112222200111111212121222001022220111111122200122000220012200110112200122220011111122200122001000222201110220011211111222001220001210222200111220001211121211022220111122001220000112200122000220001010222200112120220001202200102222011220001011011101022000122200022220011212220011122000121102222011120220001010220010121010222200112122200122001220001111022220111222000220002200010122200010011222200122000111201212110222201122001220010220001010022000220011122220012200011121222001101202222011011220012200111220001001112222200122001022000220012200012002222011220011001010122200001122001222200122001121122000121022001022220111211121210220011011102200122220012200112121201200222201112220011201012022000100222200122001121222001022000120222201110110101222001122200010220002222001220012200101222000121202222011102200122001022001010220012200112
