input: 
01202101210201202
Run: 1000000, 0.26% complete
Run: 2000000, 0.52% complete
Run: 3000000, 0.77% complete
Run: 4000000, 1.03% complete
Run: 5000000, 1.29% complete
Run: 6000000, 1.55% complete
Run: 7000000, 1.81% complete
Run: 8000000, 2.07% complete
Run: 9000000, 2.32% complete
Run: 10000000, 2.58% complete
Run: 11000000, 2.84% complete
Run: 12000000, 3.10% complete
Run: 13000000, 3.36% complete
Run: 14000000, 3.61% complete
Run: 15000000, 3.87% complete
Run: 16000000, 4.13% complete
Run: 17000000, 4.39% complete
Run: 18000000, 4.65% complete
Run: 19000000, 4.90% complete
Run: 20000000, 5.16% complete
Run: 21000000, 5.42% complete
Run: 22000000, 5.68% complete
Run: 23000000, 5.94% complete
Run: 24000000, 6.20% complete
Run: 25000000, 6.45% complete
Run: 26000000, 6.71% complete
Run: 27000000, 6.97% complete
Run: 28000000, 7.23% complete
Run: 29000000, 7.49% complete
Run: 30000000, 7.74% complete
Run: 31000000, 8.00% complete
Run: 32000000, 8.26% complete
Run: 33000000, 8.52% complete
Run: 34000000, 8.78% complete
Run: 35000000, 9.04% complete
Run: 36000000, 9.29% complete
Run: 37000000, 9.55% complete
Run: 38000000, 9.81% complete
Run: 39000000, 10.07% complete
Run: 40000000, 10.33% complete
Run: 41000000, 10.58% complete
Run: 42000000, 10.84% complete
Run: 43000000, 11.10% complete
Run: 44000000, 11.36% complete
Run: 45000000, 11.62% complete
Run: 46000000, 11.87% complete
Run: 47000000, 12.13% complete
Run: 48000000, 12.39% complete
Run: 49000000, 12.65% complete
Run: 50000000, 12.91% complete
Run: 51000000, 13.17% complete
Run: 52000000, 13.42% complete
Run: 53000000, 13.68% complete
Run: 54000000, 13.94% complete
Run: 55000000, 14.20% complete
Run: 56000000, 14.46% complete
Run: 57000000, 14.71% complete
Run: 58000000, 14.97% complete
Run: 59000000, 15.23% complete
Run: 60000000, 15.49% complete
Run: 61000000, 15.75% complete
Run: 62000000, 16.00% complete
Run: 63000000, 16.26% complete
Run: 64000000, 16.52% complete
Run: 65000000, 16.78% complete
Run: 66000000, 17.04% complete
Run: 67000000, 17.30% complete
Run: 68000000, 17.55% complete
Run: 69000000, 17.81% complete
Run: 70000000, 18.07% complete
Run: 71000000, 18.33% complete
Run: 72000000, 18.59% complete
Run: 73000000, 18.84% complete
Run: 74000000, 19.10% complete
