CAR ID	DESCRIPTION
======	===========
23245	1222212222210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
22872	1222212022110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
20830	122220010000000022110000
20833	1222200100000000221200000
20902	122220020000000002222000000000
21168	22022000002210000010
20819	122220010000000022000
20565	122120000002210000
20838	12222001000000002222000000000
20824	12222001000000002210000
20282	122221012200000000000000000000000000000000010
20430	1221200000022000
20280	12222101210000000000000000000000000000000010
12030	1222211001200000000000000000000000000000000000000000000000010
11866	122220110000000000022110000
15077	122220020000000002210000
15188	12211000002210000
10094	122221120110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
10404	12222002000000000221200000
10086	1221200000022110000
9577	220220000102210000022000
9258	1222211222200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
4731	1222200200000000022000
11893	122220200000000000000221200000
15168	122110000022000
4552	221022000010221000001022110000010
11045	12222101010000000000000000000000000010
11083	12222110000000000000000000000000000000000000000000000010
9480	12222112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010
11887	12222012000000000000221200000
9559	220220000102210000010
10103	1222200200000000022110000
3778	12222000000000022000
2780	12222101110000000000000000000000000000010
4619	122220000000000221200000
4528	12222000000000022110000
4522	1222200000000002210000
4454	122220210000000000000022110000
3986	2202210000010221200000010
4791	1222201000000000002210000
3049	12222110010000000000000000000000000000000000000000000000010
2765	1222210020000000000000000000000010
3044	1222211000200000000000000000000000000000000000000000000010
3211	122221100110000000000000000000000000000000000000000000000010
4507	22022220110000000000010222201200000000000010
3039	122221100010000000000000000000000000000000000000000000010
3028	12222102210000000000000000000000000000000000000000010
2888	1222210220000000000000000000000000000000000000000010
2886	122221021200000000000000000000000000000000000000010
2881	1222210210000000000000000000000000000000000000010
2785	1222210120000000000000000000000000000000010
2752	122221000200000000000000000010
2652	12222020000000000000010
2650	1222201200000000000010
2795	1222210200000000000000000000000000000000000010
2634	1221200000010
2782	122221011200000000000000000000000000000010
3032	122221022200000000000000000000000000000000000000000010
2778	1222210110000000000000000000000000000010
2772	1222210100000000000000000000000000010
2767	12222100210000000000000000000000010
2761	122221001200000000000000000000010
2754	1222210010000000000000000000010
2745	1222210000000000000000000010
2648	122220110000000000010
2646	12222010000000000010
2644	1222200200000000010
2992	12210000022000
2801	12222102010000000000000000000000000000000000010
2878	122221020200000000000000000000000000000000000010
2641	122220010000000010
2759	12222100110000000000000000000010
2884	12222102110000000000000000000000000000000000000010
2658	1222202200000000000000010
2748	12222100010000000000000000010
2655	122220210000000000000010
2776	122221010200000000000000000000000000010
2770	122221002200000000000000000000000010
2625	12210000010
2627	122110000010
2638	12222000000000010
